TeamId,TeamName,Score_public
2590288,23.59,0.43397
2590288,23.59,0.43279
2590288,23.59,0.32499
2590288,23.59,0.06286
2316413,437,0.47227
2316413,437,0.45394
2316413,437,0.44321
2316413,437,0.44106
2316413,437,0.44056
2316413,437,0.19396
2316413,437,0.01924
2498131,501,0.60656
2498131,501,0.6049
2498131,501,0.60292
2498131,501,0.5971
2498131,501,0.5961
2498131,501,0.57552
2498131,501,0.55954
2498131,501,0.5589
2498131,501,0.5567
2498131,501,0.55665
2498131,501,0.55177
2498131,501,0.54748
2498131,501,0.52673
2498131,501,0.52332
2498131,501,0.50859
2498131,501,0.50852
2498131,501,0.49569
2498131,501,0.47671
2498131,501,0.45824
2498131,501,0.45184
2498131,501,0.40054
2498131,501,0.37603
2498131,501,0.37017
2191767,522,0.49985
2191767,522,0.49613
2191767,522,0.4811
2191767,522,0.48079
2191767,522,0.46166
2191767,522,0.45977
2191767,522,0.45623
2191767,522,0.44877
2191767,522,0.42847
2191767,522,0.42458
2191767,522,0.38677
2191767,522,0.36316
2191767,522,0.33275
2191767,522,0.3285
2191767,522,0.31527
2572796, Aku dadi hamster,0.29808
2451825,__,0.22728
2451825,__,0.22388
2451825,__,0.19831
2189019,_/\_martin_/\_,0.41727
2189019,_/\_martin_/\_,0.39187
2189019,_/\_martin_/\_,0.37596
2189019,_/\_martin_/\_,0.37097
2189019,_/\_martin_/\_,0.37057
2189019,_/\_martin_/\_,0.33894
2189019,_/\_martin_/\_,0.3197
2189019,_/\_martin_/\_,0.2955
2189019,_/\_martin_/\_,0.29194
2189019,_/\_martin_/\_,0.28904
2189019,_/\_martin_/\_,0.27954
2189019,_/\_martin_/\_,0.09327
2189019,_/\_martin_/\_,0.05619
2369421,_wdd,0.30733
2369421,_wdd,0.29222
2471199,..,0.62052
2471199,..,0.61556
2471199,..,0.61138
2471199,..,0.59858
2471199,..,0.5841
2471199,..,0.5837
2471199,..,0.57843
2471199,..,0.57747
2471199,..,0.56733
2471199,..,0.52368
2471199,..,0.48531
